Date,OR,Image_Filename,Quantity,Classification_Code,Amount,Subtotal
2025-06-19 12:12:21,243621,N/A,4,2,140,1778
2025-06-19 12:12:21,243621,N/A,21,7,1638,1778
2025-06-19 22:36:34,790769,N/A,8,5,384,2724
2025-06-19 22:36:34,790769,N/A,15,7,1170,2724
2025-06-19 22:36:34,790769,N/A,18,4,1170,2724
2025-06-19 22:38:26,800816,N/A,100,2,3500,36000
2025-06-19 22:38:26,800816,N/A,500,6,32500,36000
2025-06-19 22:40:12,393168,Common_Mime_clytia.jpeg,1,8,89,89
2025-06-19 22:42:26,752429,508421034_10233529137362229_4391362217512531708_n.jpg,10,6,650,2288
2025-06-19 22:42:26,752429,508421034_10233529137362229_4391362217512531708_n.jpg,21,7,1638,2288
2025-06-19 22:45:47,233686,508421034_10233529137362229_4391362217512531708_n.jpg,100,7,7800,14250
2025-06-19 22:45:47,233686,508421034_10233529137362229_4391362217512531708_n.jpg,150,3,6450,14250
2025-06-19 22:47:14,510040,IMG_20230821_082125.jpg,1,6,65,65
2025-06-19 22:49:22,650077,461327177_1262195178300235_4586474169760590502_n.jpg,15,5,720,720
2025-06-19 22:53:27,787635,Eric Oria,N/A,125,5,6000
2025-06-19 23:09:04,647906,508168112_10233529136202200_6775738983826875212_n.jpg,15,4,2925
2025-06-19 23:09:04,647906,508168112_10233529136202200_6775738983826875212_n.jpg,25,7,2925
2025-06-19 23:10:26,569380,508490918_10233529136002195_8567556155568792986_n.jpg,14,7,1092
2025-06-22 13:23:46,721348,N/A,102,12,15012
2025-06-22 13:23:46,721348,N/A,148,7,15012
